subject_id,task_part,block_condition,block_order,task_block,trial_index,stimulus,cat_type,mean_cat_reward,approach_reward,key_press,rt,points,stimulus_repetition,correct_response,correct_response_made
3768,learning,1,2,plants,230,images/flower8.png,good,6,5,1,791,5,2,1,1
3768,learning,1,2,plants,232,images/flower2.png,good,6,3,1,718,3,3,1,1
3768,learning,1,2,plants,234,images/tree1.png,neutral,0,2,0,1286,0,1,0,1
3768,learning,1,2,plants,236,images/tree3.png,neutral,0,-1,0,780,0,4,0,1
3768,learning,1,2,plants,238,images/flower4.png,good,6,8,1,674,8,3,1,1
3768,learning,1,2,plants,240,images/flower4.png,good,6,4,1,530,4,4,1,1
3768,learning,1,2,plants,242,images/tree5.png,neutral,0,[-1],0,840,0,3,0,1
3768,learning,1,2,plants,244,images/cactus5.png,bad,-3,-1,0,959,0,1,0,1
3768,learning,1,2,plants,246,images/tree6.png,neutral,0,[1],0,1398,0,3,0,1
3768,learning,1,2,plants,248,images/tree6.png,neutral,0,1,1,951,1,4,0,0
3768,learning,1,2,plants,250,images/cactus6.png,bad,-3,-3,0,2448,0,3,0,1
3768,learning,1,2,plants,252,images/cactus6.png,bad,-3,-1,0,1113,0,4,0,1
3768,learning,1,2,plants,254,images/flower2.png,good,6,4,1,571,4,4,1,1
3768,learning,1,2,plants,256,images/tree6.png,neutral,0,-2,0,770,0,5,0,1
3768,learning,1,2,plants,258,images/flower2.png,good,6,5,1,1040,5,5,1,1
3768,learning,1,2,plants,260,images/cactus8.png,bad,-3,-2,0,1333,0,2,0,1
3768,learning,1,2,plants,262,images/tree6.png,neutral,0,1,0,685,0,6,0,1
3768,learning,1,2,plants,264,images/tree3.png,neutral,0,1,0,1141,0,5,0,1
3768,learning,1,2,plants,266,images/tree3.png,neutral,0,1,1,1123,1,6,0,0
3768,learning,1,2,plants,268,images/cactus6.png,bad,-3,-1,0,649,0,5,0,1
3768,learning,1,2,plants,270,images/cactus4.png,bad,-3,-5,0,1106,0,5,0,1
3768,learning,1,2,plants,272,images/cactus1.png,bad,-3,-2,0,887,0,1,0,1
3768,learning,1,2,plants,274,images/cactus6.png,bad,-3,-3,0,942,0,6,0,1
3768,learning,1,2,plants,276,images/cactus8.png,bad,-3,-1,0,622,0,3,0,1
3768,learning,1,2,plants,278,images/cactus4.png,bad,-3,-3,0,740,0,6,0,1
3768,learning,1,2,plants,280,images/flower2.png,good,6,8,1,756,8,6,1,1
3768,learning,1,2,plants,282,images/flower4.png,good,6,7,1,563,7,5,1,1
3768,learning,1,2,plants,284,images/flower4.png,good,6,5,1,802,5,6,1,1
3768,learning,1,2,plants,286,images/flower1.png,good,6,5,1,841,5,1,1,1
3768,learning,1,2,plants,288,images/tree7.png,neutral,0,[-1],-,1104,-5,1,0,0
3768,learning,1,2,plants,290,images/flower8.png,good,6,5,1,1494,5,3,1,1
3768,learning,2,3,furniture,307,images/table2.png,good,6,6,1,1704,6,1,1,1
3768,learning,2,3,furniture,309,images/table5.png,good,6,4,0,607,0,1,1,0
3768,learning,2,3,furniture,311,images/bed7.png,bad,-3,7,0,1000,0,1,1,0
3768,learning,2,3,furniture,313,images/table5.png,good,6,4,1,882,4,2,1,1
